DEM_AGE_LONG,DEM_AGE_SHORT,DEM_GENDER,DEM_REGION,DEM_EDUCATION_LONG,DEM_EDUCATION_SHORT,DEM_MARITALSTATUS_LONG,DEM_MARITALSTATUS_SHORT,DEM_HOUSEHOLDSIZE,DEM_FAMILYINCOME_LONG,DEM_FAMILYINCOME_SHORT,DEM_EMPLOYMENT,DEM_ETHNICITY_LONG,DEM_ETHNICITY_SHORT,IDNUM,RANDOMSPLIT,Q01_ATAHC,Q01_ATWT,Q01_AOSS,Q01_CS,Q01_E,Q01_ESBPAY,Q01_GMIFP,Q01_HAJ,Q01_HHI,Q01_HQ,Q01_I,Q01_KAH,Q01_NOFHFAE,Q01_PHP,Q01_PRS,Q01_PESACAOW,Q01_RE,Q01_SM,Q01_ST,Q01_WAPL,Q01A,Q02,Q03,Q04,Q05,Q06,Q07_1,Q07_2,Q07_3,Q07_4,Q07_5,Q7_TOPPRIORITIES,Q08_1,Q08_2,Q08_3,Q08_4,Q09_1,Q09_2,Q09_3,Q09_4,Q09_5,Q10,Q11A,Q11B,Q12,Q13A,Q13B,Q14_1,Q14_2,Q14_3,Q14_4,Q15A_ATGE,Q15A_AHC,Q15A_AHI,Q15A_CE,Q15A_D,Q15A_ER,Q15A_GBM,Q15A_HITH,Q15A_L,Q15A_PCB,Q15A_TBSTLI,Q15A_OTH,Q15B_1,Q15B_2,Q15B_3,Q15B_4,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q17_ICTPI,Q17_ICRMO,Q17_MCMKM,Q17_TCHSA,Q17_IPALO,Q17_BAMOT,Q17_IIVIT,Q17_IAWOC,Q17_IETBA,Q17_MOTCH,Q17_IFHAT,Q17_MOTCC,Q17_MCCWT,Q17_MCHTR,Q17_MCWTT,Q17_IKMNW,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q20_1,Q20_2,Q20_3,Q20_4,Q21,Q22_1,Q22_2,Q23,Q24,Q25,Q26,Q27,Q28,Q28A,Q29A_1,Q29A_2,Q29A_3,Q29A_4,Q29A_5,Q29A_6,Q29A_7,Q29A_8,Q29B,Q30_1,Q30_2,Q30_3,Q30_4,Q31_1,Q31_2,Q32,Q33,Q33A,Q34,WEIGHT
75,3,2,3,9,2,1,1,2,15,6,5,1,1,16,1,3,3,3,4,3,5,3,5,3,4,5,5,5,3,5,5,3,5,4,4,2,2,1,2,2,2,2,,,,,1,3,3,3,3,3,5,5,5,5,3,1,,3,4,,1,2,3,2,0,0,0,0,0,1,1,0,0,1,0,0,5,5,5,3,50,-1,79,50,72,37,34,50,2,2,2,2,1,2,1,2,2,3,2,2,2,2,2,2,3,3,4,3,5,3,3,3,2,2,2,2,2,2,2,2,1,5,4,5,3,2,1,2,5,2,1,5,2,2,2,1,2,1,2,2,,0,0,1,0,4,1,4,2,,1,0.7869329558
49,1,1,4,10,3,5,4,1,13,4,1,3,3,17,2,5,3,5,4,3,4,5,5,5,3,5,5,1,5,2,5,5,5,5,4,9,1,2,2,3,2,1,,,,,1,4,4,5,5,4,5,5,5,1,3,,1,3,,2,1,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,2,3,5,1,0,43,12,12,0,64,39,100,3,2,3,1,4,4,2,1,3,1,4,2,1,1,1,1,3,3,3,3,3,3,3,3,1,1,2,2,2,2,3,5,1,1,5,2,2,2,1,1,6,2,1,2,1,2,2,2,2,2,2,1,,0,0,1,0,4,1,3,2,,2,0.6622375478
64,2,2,4,12,4,3,2,1,10,3,5,1,1,18,1,5,2,4,4,3,5,5,3,5,4,3,4,4,4,2,5,3,4,4,4,6,1,2,2,1,1,4,1,5,,,3,4,5,5,5,5,5,5,3,4,5,2,,1,4,,3,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,1,3,4,1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,2,2,2,3,3,3,4,2,3,2,2,2,2,2,4,4,4,4,4,5,4,4,1,1,1,2,1,2,3,4,3,2,2,1,1,1,2,2,6,2,3,2,1,2,2,2,2,2,2,2,,0,0,1,0,3,3,4,2,,2,0.4297127264
66,3,2,4,12,4,4,3,1,11,3,5,1,1,19,1,5,2,3,3,3,2,5,3,4,2,5,5,4,4,4,4,2,5,5,3,4,2,1,2,1,2,4,2,,,,2,1,3,4,2,4,5,5,5,5,2,1,,1,4,,2,2,3,3,0,1,0,0,0,1,0,0,0,1,0,0,5,2,3,3,9,15,43,59,61,40,60,37,2,2,2,3,2,1,3,3,3,2,3,2,3,3,3,4,4,5,5,5,5,4,2,2,1,2,2,2,2,2,4,4,3,5,3,5,5,1,2,2,5,2,1,2,2,-1,1,1,2,2,2,2,,0,0,1,0,3,3,4,1,2,2,0.5478553517
46,1,2,3,10,3,5,4,5,7,2,1,2,2,20,2,4,3,3,3,4,3,4,4,5,4,5,4,3,4,3,4,4,4,4,3,6,2,1,1,1,2,2,2,3,,,3,4,4,4,3,5,5,3,4,4,4,,1,3,,3,3,3,3,3,0,0,1,0,0,0,0,1,0,0,1,0,2,4,4,1,36,0,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,3,3,5,2,5,1,2,2,2,6,2,1,2,2,2,1,2,1,2,2,2,,0,1,0,0,4,4,2,2,,2,0.9020237764
77,3,1,3,12,4,4,3,1,12,4,5,1,1,21,1,4,3,3,4,4,4,5,3,5,3,4,5,4,4,2,4,3,5,4,4,4,2,2,2,2,3,,,,,,0,4,5,5,5,5,5,4,4,4,1,2,,1,3,,3,3,3,3,0,1,1,0,0,0,0,1,0,0,0,0,1,2,2,1,12,21,18,15,1,37,77,9,3,3,3,2,3,3,4,3,4,4,3,3,3,4,3,3,5,3,4,4,4,4,2,2,1,1,1,1,1,2,4,4,3,2,2,1,1,1,2,1,6,2,1,2,1,2,2,1,2,2,2,2,,0,0,1,0,3,3,4,2,,1,0.3911594676
51,2,2,-1,12,4,5,4,1,10,3,1,1,1,22,1,5,3,4,4,4,3,4,3,5,4,4,4,4,4,4,4,4,5,4,4,1,2,2,2,1,2,4,,,,,1,4,4,5,5,5,5,5,2,2,5,2,,1,1,,3,3,3,3,0,1,0,1,0,0,0,0,0,0,1,0,2,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,-1,-1,-1,-1,-1,0.5529684466
73,3,1,3,12,4,1,1,2,12,4,5,1,1,23,1,5,3,4,4,5,2,4,4,5,4,4,4,3,5,3,4,4,5,5,4,7,1,1,2,2,2,1,1,,,,2,4,4,4,4,4,4,5,4,3,2,1,,3,1,,3,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,2,3,3,3,11,14,18,14,17,13,2,50,4,3,3,3,3,2,3,3,3,3,3,3,3,2,2,2,3,2,4,4,4,3,3,3,1,2,2,2,1,2,5,3,3,5,2,1,1,1,2,2,6,2,1,2,2,2,2,1,2,2,2,2,,0,0,1,0,4,3,1,2,,2,0.5938206086
64,2,2,1,9,2,3,2,1,2,1,1,1,1,24,2,1,1,1,1,1,1,1,5,3,3,4,4,1,1,1,1,1,1,1,3,2,3,3,1,3,3,3,,,,,1,1,1,3,3,3,1,1,4,3,1,,1,2,,4,2,2,3,3,0,1,0,0,0,0,0,0,0,1,1,0,5,5,5,3,96,-1,-1,100,100,-1,-1,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,1,1,1,1,2,2,1,2,1,1,2,1,2,2,1,2,2,2,,0,0,1,0,4,4,1,2,,2,0.7658504583
41,1,2,2,12,4,1,1,4,15,6,2,1,1,25,2,5,1,1,1,4,1,5,2,5,2,2,3,1,5,1,5,2,5,3,1,11,1,2,2,2,3,1,,,,,1,2,3,3,3,5,5,4,2,2,4,,1,2,,1,3,3,3,2,0,1,0,0,0,0,1,0,0,1,0,0,4,2,2,2,24,78,79,15,20,73,-1,77,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,4,3,3,3,3,3,1,1,2,2,2,2,2,2,2,2,4,2,2,1,1,2,6,2,3,1,1,2,1,2,2,2,2,2,,0,0,1,0,1,1,3,1,2,2,0.9095147561
